nameZh,nameEn,area,areaZh,areaEn,addr,hrsZh,hrsEn,tel,rating,web,ig,tagsZh,tagsEn,descZh,descEn,online,status
好易織 DK Yarn,DK Yarn,kln,旺角,Mong Kok,"G/F, 77 Lai Chi Kok Rd, Mong Kok",二/四/六 12–19:00,Tue/Thu/Sat 12–7pm,+852 9696 2070,3.6,https://www.doubleknityarn.com.hk,,"實體店|鈎針+針織|平價","In-store|Knit+Crochet|Affordable",旺角花園街附近，選擇豐富，棉線至美麗諾都有，員工友善。,Near Fa Yuen St. Great range from acrylic to merino, helpful staff.,false,open
美通毛冷 Mui Tong,Mui Tong Wools,hki,上環,Sheung Wan,"1/F, 17 Jervois St, Sheung Wan",一/三/六 10:00–17:30,Mon/Wed/Sat 10am–5:30pm,+852 2544 0624,5.0,,,老字號|意大利線,Heritage|Italian yarns,60年老店，意大利線材為主，阿姐親切，地方細而精緻。,60-year heritage shop. Italian yarns, cosy space, warm owner.,false,open
Paris Cotton Singlets,Paris Cotton Singlets,hki,銅鑼灣,Causeway Bay,"1/F, 15 Pak Sha Rd, Causeway Bay",一至日 11:00–19:00,Mon–Sun 11am–7pm,+852 2577 1101,4.6,,,老字號|教班|現金,Heritage|Classes|Cash only,1970年代開業，有教班，有小圓枱俾客人坐係度織。現金付款。,Open since 1970s. Classes, sit-and-knit table. Cash only.,false,open
Paris Woolen Workshop,Paris Woolen Workshop,hki,銅鑼灣,Causeway Bay,"Flat B, 2/F, 1 Pak Sha Rd, Causeway Bay",二休 / 其餘 11:00–19:00,Closed Tue / Others 11am–7pm,+852 2812 2141,3.8,,,Pattern書多|教班,Pattern library|Classes,Pattern書collection全港之最，老闆熱情好客。,Incredible pattern book collection. Welcoming owners.,false,open
姿采毛冷 Cheer Wool,Cheer Wool,hki,灣仔,Wan Chai,"22/F, Yam Tze Commercial Bldg, 23 Thomson Rd",查Facebook確認,Check Facebook,+852 2527 3901,,https://cheerwool.boutir.com,cheerwool,大型手工藝店|網店|Rowan,Large craft store|Online|Rowan,"1983年創立，香港最大手工藝零售商之一，備有Rowan、Wool and the Gang等品牌。","Est. 1983. HK's biggest craft retailer. Stocks Rowan, Wool & the Gang.",true,verify
毛線Mart Yarn-Mart,Yarn-Mart,kln,觀塘,Kwun Tong,"Rm15, 6/F, Wah Shing Centre, 11-13 Shing Yip St",二/三/四 10:30–19:00（午休1–2pm）,Tue/Wed/Thu 10:30am–7pm (lunch break),+852 5128 0930,4.3,https://www.yarnmart.net,,手染線|工廈,Hand-dyed|Industrial bldg,觀塘工廈，大量平價手染線，買手染線免費纏成cake。,Hand-dyed yarns in Kwun Tong. Free winding into cakes.,true,open
美豐毛冷 Mei Fung,Mei Fung Wools,nt,荃灣,Tsuen Wan,"2/F, 225 Castle Peak Rd, Tsuen Wan",一/五/六 11:00–17:00 | 二至四 11:00–19:00,Mon/Fri/Sat 11–5pm | Tue–Thu 11–7pm,+852 2498 8178,4.2,,meifungwools,老字號|歐洲+日本線,Heritage|European+Japanese,1985年開業，售賣及代訂歐洲、日本優質毛線。有Whatsapp查詢。,Est. 1985. European & Japanese quality yarns. WhatsApp welcome.,false,open
Wah May 華美,Wah May,nt,火炭,Fo Tan,火炭展廳（查IG確認地址）,查Instagram確認,Check Instagram,,,https://www.wahmay.co,wahmay.co,手染線|主要網上,Hand-dyed|Primarily online,1992年創立，主打手染線，顏色獨特漂亮，有火炭展廳。,Est. 1992. Beautiful hand-dyed colourways. Fo Tan showroom + online.,true,verify
